C1,C10,C11,C12,C14,C15,C17,C18,C2,C3,C4,C5,C6,C7,C8,C9
0.3221689,0.01770007,0.0025845256,0.025397329,0.014731465,0.022110194,0.43008462,0.0041368506,0.0019537043,0.0044723386,0.081826836,0.0036716128,0.041038394,0.0007641086,0.016590238,0.010768766
0.0036110275,0.004247867,0.005817647,0.0013462178,0.0016569109,0.0036377516,0.002272696,0.029292066,0.0046168203,0.93385506,0.0010241934,0.0019036947,0.0013102364,0.00338763,0.001230609,0.00078963727
0.006026756,0.0025478613,0.0027743112,0.005689644,0.0022838162,0.0016888253,0.0016601137,0.0006447103,0.0039257077,0.000937806,0.008379941,0.0014728033,0.0036785477,0.00050545554,0.0024359042,0.9553478
0.00047926747,0.00010611578,0.00028838796,0.00023141174,0.00017036208,5.1607665e-05,4.754956e-05,0.00019448486,0.99121654,0.0034104146,0.0006246092,0.00011702965,7.942014e-05,0.0021832637,8.388046e-05,0.000715681
0.0013033673,0.0005776685,0.006741505,0.0015142898,0.00075643545,0.00036187356,0.00022196224,0.0001411455,0.0014619452,0.00026660244,0.04189016,0.00029410544,0.0010750334,0.00021466732,0.00056103047,0.9426183
0.008953721,0.0047492716,0.00224936,0.0047681527,0.0022267478,0.002183187,0.0021906951,0.00073179934,0.005052541,0.0013110283,0.0059936303,0.001456696,0.0029919706,0.00043750316,0.0031788277,0.95152485
0.005851678,0.0019418268,0.0073487223,0.002163052,0.0024365361,0.0124235265,0.002779951,0.00049376406,0.0006968039,0.0016791316,0.7463544,0.0018486275,0.20444228,0.0003305741,0.0017103262,0.0074987924
0.004296653,0.001896595,0.0054568746,0.005678068,0.95371705,0.0051988736,0.0032223484,0.0009911122,0.0013685593,0.0014906825,0.0029485186,0.0016288656,0.005396789,0.0014223167,0.001016121,0.0042705857
0.0019781457,0.0006338438,0.0033981376,0.0022149954,0.97683275,0.0030227234,0.0013601542,0.00038593862,0.00061604305,0.0007292076,0.0015502326,0.00056043954,0.004463335,0.0006319188,0.00041501393,0.0012071214
0.9908133,0.00051951676,1.8562227e-05,0.00034296134,0.0005403938,0.0003157199,0.0022311602,0.00010733667,0.00011034825,0.00036819003,0.00038231432,0.0016189073,0.0021092573,1.9428944e-05,0.00037607603,0.00012656438
0.0502601,0.021547701,0.023869358,0.015833102,0.016256774,0.024076583,0.010504108,0.0052077607,0.021401012,0.04087591,0.14152002,0.005848766,0.14735696,0.0030743652,0.017856777,0.45451063
0.00553429,0.010531052,0.013000522,0.008478239,0.0067996886,0.010713389,0.013466646,0.66163987,0.00642754,0.24481721,0.0013962218,0.005689393,0.0030191368,0.0028534662,0.0038676842,0.0017656817
0.0005618042,0.00040848434,0.0009868757,0.00010921854,0.00017880512,0.0004139868,0.00015989988,0.0023405352,0.0015928044,0.9910001,0.00020619044,0.00024941957,0.00015300329,0.001401748,0.00013074765,0.000106297186
0.0003548567,0.00018698697,0.01984805,0.00035905058,0.00027627693,0.00016047104,5.4648885e-05,4.8415586e-05,0.00025886056,0.00012317266,0.92605364,0.00011346548,0.0006347906,0.00020171967,0.000120112556,0.051205397
0.018627778,0.008541026,0.009908765,0.0061766696,0.008375088,0.03379399,0.0113402,0.0021274663,0.0023271202,0.0047633084,0.15848193,0.010370811,0.70174766,0.001112934,0.0073886495,0.01491661
0.0005350618,0.0002330516,0.00030845066,0.00028650774,0.00016743277,9.173588e-05,7.756309e-05,0.00035916938,0.98742306,0.006301323,0.00022878296,0.00019031878,0.000100500525,0.0028787407,0.00011946143,0.00069883815
0.015406336,0.00934837,0.01580674,0.008586659,0.22342172,0.063550666,0.01137884,0.0021228006,0.0029694259,0.0052772877,0.0768649,0.004875897,0.5274475,0.0010405688,0.018757306,0.013144927
0.00077369873,0.0007825259,0.0026387516,0.00030311846,0.00044257348,0.00026902716,0.00013520435,0.0011840684,0.25196657,0.72194934,0.0005337791,0.00030018616,0.0002179705,0.017668927,0.00023732317,0.00059700204
0.008936365,0.0046210946,0.026695939,0.007984578,0.0053147986,0.009518892,0.0045628645,0.002681252,0.0047169267,0.004526463,0.864966,0.0038873313,0.023404911,0.0030239148,0.0042012837,0.020957451
0.0013607544,0.00040985472,0.002037863,0.00057099265,0.00047227336,0.004844845,0.00040229096,0.00010333509,0.00017540249,0.000302265,0.9805766,0.00043774414,0.005811541,0.00013975693,0.00041550858,0.0019390925
0.00013068374,0.000102944505,0.00031150354,4.0680465e-05,5.7873323e-05,7.97889e-05,3.825733e-05,0.0003927027,0.00097396487,0.9964535,3.943762e-05,4.1025065e-05,4.035457e-05,0.0012340065,3.3588905e-05,2.9597644e-05
0.015689565,0.008357367,0.0060812617,0.8469149,0.014335788,0.0145761175,0.026881985,0.0038746512,0.004398652,0.0028855773,0.0142925205,0.0028052975,0.007940061,0.0018988362,0.010028509,0.019038955
0.98217636,0.0012602105,4.521655e-05,0.00081431837,0.0009721881,0.0007666355,0.004570594,0.00023940526,0.00025436142,0.00068796077,0.00079965434,0.0025370584,0.0037194774,4.6283665e-05,0.0008311708,0.00027926307
0.003634172,0.0017055997,0.006077825,0.0022156946,0.0020996218,0.00079563295,0.000723331,0.0024809777,0.83180016,0.06396653,0.0050870827,0.0014209084,0.0009052517,0.070577145,0.0011487645,0.00536123
0.0004476058,0.00035796003,0.0012202432,0.0001383964,0.00024963293,0.00025696386,0.00013636255,0.0009236154,0.003329528,0.98547506,0.00015096291,0.00014532756,0.0001521684,0.006778194,0.00012223728,0.00011581839
0.0006001732,0.00055970304,0.0013367048,0.000173796,0.00025538806,0.00058034,0.00026956486,0.00972864,0.0018173698,0.9825612,0.00019842127,0.00035033343,0.00016976404,0.0011167463,0.00016733287,0.00011460635
0.0007444162,0.0005230923,0.0046122028,0.0008916329,0.0011318033,0.00019690483,0.00030479569,0.00070906733,0.085153915,0.029275365,0.0014033838,0.00067267765,0.0003055474,0.87293375,0.00024251209,0.0008989098
0.0016159583,0.0008468276,0.0026756786,0.00031006034,0.0005859326,0.00086256966,0.00038025068,0.003426569,0.0070164716,0.97175187,0.0007273169,0.0008495702,0.0004576494,0.007644732,0.00043592052,0.00041256973
0.0068548247,0.0075257095,0.0042767604,0.005333744,0.015889013,0.08227873,0.011181697,0.002156241,0.0015662675,0.0049875267,0.008517055,0.003865694,0.8343964,0.0004895002,0.005521102,0.0051598083
0.012449123,0.004306204,0.008472342,0.007438622,0.8904551,0.011692739,0.0067772325,0.0013211088,0.0018383266,0.0026638715,0.010605471,0.0021216949,0.02987969,0.0010388421,0.0018860876,0.0070534996
0.0017657668,0.00074232,0.0071891365,0.0009721137,0.0012114464,0.00046104268,0.00032216584,0.0015831569,0.5495301,0.23890449,0.004818316,0.0006767646,0.0006030393,0.18819985,0.00045043093,0.0025698447
0.00060217286,0.0037858274,0.94408023,0.001360511,0.0052125473,0.001213136,0.0006595681,0.001532696,0.000479432,0.005525372,0.027544782,0.0004642746,0.0025131775,0.0019297162,0.00061165716,0.002484956
0.0016744062,0.0011658664,0.0054620416,0.00083805836,0.0011258592,0.0007269777,0.0006235162,0.0029615506,0.024676453,0.84976625,0.0013957286,0.0011540256,0.0007650336,0.10640253,0.00048427336,0.0007774105
0.0011289576,0.00046431436,0.00017274971,0.990466,0.0008020904,0.0011026376,0.0037831035,0.00017309205,0.00012017325,0.00012104084,0.00039898723,5.891632e-05,0.00021069389,6.82208e-05,0.00050180487,0.00042722435
0.0013956892,0.00093003176,0.0028628588,0.00061237096,0.0007250901,0.00029975304,0.00020859473,0.001276172,0.8001469,0.15862456,0.0012948647,0.00046341348,0.00029307438,0.028861672,0.0004172478,0.0015877666
0.00051025016,0.00031153657,0.0031868776,0.0004698287,0.00066243066,0.00012682949,0.00015116631,0.0006221098,0.23602426,0.05678538,0.0010773457,0.00037130338,0.00018210366,0.6987365,0.00012372996,0.0006583873
0.03781637,0.0051368503,0.0056238356,0.0059507526,0.006710829,0.041433193,0.009916947,0.0008183553,0.0011959411,0.0024841297,0.66128457,0.0029477878,0.2036052,0.00054299406,0.003764944,0.010767336
0.0010539792,0.0008184635,0.0021191116,0.00029181293,0.00040988225,0.00030645382,0.00014868131,0.0013352166,0.2541724,0.7284146,0.0004464255,0.00037528714,0.0002543037,0.009011861,0.00025143928,0.0005900389
0.0007691221,0.0008539284,0.0006772055,9.915382e-05,0.00013030255,0.0004736793,0.0002435984,0.0013884102,0.00047407017,0.99389476,7.496618e-05,0.00013292146,0.00016020535,0.0004444614,0.000120868805,6.243935e-05
0.9475623,0.0039322227,0.00024260714,0.0020312287,0.0029345364,0.002749516,0.011152413,0.0006713345,0.00082893384,0.002671858,0.0023639859,0.00495084,0.0142717995,0.00019779803,0.0022210442,0.0012175791
0.00050962437,0.00017189902,0.000680852,0.00024579384,0.00020308215,6.6688444e-05,5.4821798e-05,0.00027874307,0.9702965,0.015729291,0.000699774,0.00013168913,8.317482e-05,0.009844834,0.00011534593,0.00088794675
0.013618099,0.003217407,0.008797399,0.005708127,0.0037453936,0.012140267,0.0047006193,0.0014241752,0.0027884557,0.0024601652,0.86803377,0.0058479486,0.041372318,0.001656845,0.0068004695,0.017688641
0.009145811,0.0049206964,0.013565453,0.010867514,0.89407295,0.010920754,0.0073498082,0.0026264596,0.0030395952,0.004073134,0.008032499,0.0034609244,0.014652539,0.0030913895,0.0023924292,0.007788053
0.0009929708,0.0009924533,0.011080955,0.00066838757,0.0011712501,0.00039982866,0.00042542466,0.0018897478,0.009360513,0.6057282,0.0012277612,0.0008610961,0.00042488016,0.36401275,0.00026029482,0.0005035078
0.9481438,0.003697655,0.00020678653,0.00179443,0.0025947108,0.0024844587,0.010520373,0.00059469696,0.0007148488,0.0022838572,0.0022687581,0.0064950814,0.0146188615,0.00016744678,0.0022529012,0.0011614517
0.0015419123,0.0012962564,0.008994362,0.0008130733,0.0014422367,0.0007428389,0.0005712693,0.0026374857,0.019092564,0.8224478,0.0013078566,0.0009909177,0.00065725733,0.13627636,0.00044794648,0.0007398878
0.0062466688,0.002369937,0.009957408,0.007317105,0.9301573,0.0073586092,0.004720832,0.0018763075,0.0027533562,0.0029116496,0.0046140016,0.0023336196,0.0083815055,0.0032545906,0.0017052932,0.0040418124
0.032478698,0.017405426,0.0055881124,0.0065831062,0.008116642,0.069332056,0.017986942,0.0023693363,0.0014299687,0.006909235,0.06176567,0.015687106,0.73821044,0.0005137255,0.006842583,0.008780937
0.028778845,0.00311079,0.0007127496,0.0018620682,0.0012790895,0.0020883281,0.0030226137,0.0006807415,0.00045689134,0.0011234807,0.024152229,0.9182512,0.010334412,0.00035700685,0.0013037677,0.0024857179
0.0020944595,0.0005743821,0.00016095844,0.98637706,0.0009627064,0.0012015306,0.006099129,0.00021992522,0.0001467672,0.00019092261,0.00033147915,6.6764325e-05,0.00024457034,8.8975095e-05,0.0005904467,0.0006498904
0.021827372,0.05369266,0.004294012,0.06376188,0.020648355,0.4016156,0.26304805,0.0118572,0.004284338,0.014327644,0.006369194,0.005138924,0.04650195,0.001619478,0.072707504,0.008305905
0.00044360184,0.0031320269,0.9533887,0.0010929006,0.0042847455,0.00089810963,0.00047943942,0.0011853583,0.00035881237,0.0036409306,0.024455572,0.00037443472,0.001961068,0.0014095043,0.0004970076,0.0023978122
0.0006194987,0.00062362885,0.0051821913,0.0007902135,0.0012961533,0.00025493177,0.0003934519,0.0008007278,0.019191379,0.03461147,0.0011244525,0.00085061544,0.00037653057,0.9329826,0.00023054132,0.00067163917
0.00091855275,0.0057914415,0.93018866,0.0020944627,0.0076265675,0.001828579,0.0010641607,0.0022941884,0.0007210264,0.0056945616,0.030375367,0.000789092,0.003541865,0.0023856787,0.0010293416,0.0036564854
0.9914486,0.0005448,1.9071807e-05,0.00035186356,0.0005255142,0.0002966523,0.002048211,0.00010168628,0.00011625537,0.00033944243,0.00038932468,0.0015526948,0.0017286965,1.99334e-05,0.00036552362,0.00015168215
0.004765358,0.003442015,0.027676143,0.0019445653,0.0034067882,0.0022985185,0.0013093592,0.005729142,0.108047284,0.7759477,0.004865725,0.0014299463,0.0021787935,0.051450573,0.002334842,0.0031733382
0.113654956,0.042440653,0.051176116,0.03849948,0.034326714,0.07580809,0.07271057,0.017259402,0.011296481,0.04117676,0.23707147,0.039164018,0.1546729,0.009297031,0.02314896,0.038296375
