Celltype,PR_AUC
C1,0.9748024375920878
C10,0.9936817945992894
C11,0.7068969991216599
C12,0.9620141755021233
C14,0.8735496778949798
C15,0.794096338026516
C17,0.5432466511926853
C18,0.8272222222222221
C2,0.9615656197013884
C3,0.9115145963004267
C4,0.8452339127502282
C5,0.9454249601120697
C6,0.8465189685125472
C7,0.9102321365286735
C8,0.9948251475800594
C9,0.8511950820958337
