C1,C10,C11,C12,C14,C15,C17,C18,C2,C3,C4,C5,C6,C7,C8,C9
0.37876946,0.013146966,0.0060344334,0.013907583,0.01677614,0.026060637,0.3018562,0.0037436984,0.0026243073,0.0065771197,0.13235018,0.009441751,0.050276026,0.0060044243,0.009056269,0.023374842
0.0017237954,0.0017892084,0.00768893,0.00030485293,0.0006499263,0.0010054575,0.0023555402,0.026235394,0.004072056,0.94359463,0.0021043539,0.001623668,0.0005280511,0.002245598,0.0024483372,0.0016302903
0.0073406957,0.0012461873,0.0017026262,0.006850021,0.0034368646,0.0012186847,0.0013512903,0.0006781699,0.0019586738,0.0016758067,0.014235732,0.00027584186,0.00084505073,0.001298763,0.00092891516,0.9549566
0.00016586298,0.00018548298,0.0008453435,0.0002872047,5.826004e-05,8.384422e-05,0.0002325258,0.0005529373,0.9873482,0.003981699,0.0011039071,3.860133e-05,0.000100567784,0.0037619562,0.0005884266,0.0006652855
0.0021720645,0.0005156028,0.0042759534,0.0030619234,0.0016160035,0.0004352105,0.00044790524,0.00018700014,0.0010226598,0.0010127699,0.059252236,6.58389e-05,0.00027300738,0.0006448064,0.00014798658,0.9248691
0.008181954,0.001731634,0.0015312537,0.0056148223,0.0028151004,0.0011609062,0.0015282885,0.00083563244,0.0021230015,0.0022421398,0.011257916,0.00028280052,0.00071345054,0.0010951896,0.0009993484,0.9578865
0.010296186,0.0035952043,0.0032993793,0.006646309,0.005593048,0.005976256,0.0051432615,0.0003482344,0.0010083683,0.0015130689,0.7547351,0.0024030567,0.19272394,0.0010862257,0.000396807,0.0052355328
0.004235582,0.0066124885,0.005314381,0.011919661,0.9295316,0.006283398,0.0026437738,0.00052698044,0.0008797133,0.001672072,0.0062338314,0.0042848336,0.0098542385,0.0005581948,0.0036551987,0.0057940385
0.0016088353,0.002731148,0.003116858,0.006285946,0.96047014,0.00418152,0.0010692448,0.00017851635,0.00041747306,0.0008428291,0.0037688564,0.0021680607,0.008885145,0.000238563,0.00193832,0.002098589
0.98993427,0.00023283553,2.4413814e-05,0.00014731531,0.000565026,0.00036340812,0.0022876714,0.0002766929,2.9928979e-05,8.228935e-05,0.00092330377,0.0008975702,0.0036001226,5.6121335e-05,0.00035611572,0.0002228731
0.06344329,0.017772388,0.01315104,0.025805192,0.029088626,0.01086027,0.012668313,0.0061211493,0.016506547,0.050705284,0.18113062,0.0023521828,0.0939646,0.007185201,0.008954398,0.46029094
